inconsciente	a 1.0 7.375
galante	a 1.875 0.75
navegable	a 1.125 0.0
descarado	a 8.5 9.125
recargado	a 1.5 1.75
delgaducho	a 3.25 0.75
curable	a 0.125 0.0
taciturno	a 2.25 7.125
facial	a 0.5 0.0
pagable	a 0.375 0.375
afotico	a 0.125 0.25
originario	a 2.25 0.75
difamatorio	a 0.125 12.375
mirmecofilo	a 0.0 0.25
axial	a 0.25 0.0
inestable	a 0.25 3.375
abandonado	a 0.0 1.0
erotico	a 4.25 0.25
aficionado	a 1.25 1.125
experimentado	a 0.5 0.0
embelesado	a 2.375 1.125
gotico	a 0.0 0.625
eterno	a 2.875 1.625
castigado	a 0.25 1.375
quirurgico	a 0.75 0.0
apocromatico	a 0.125 0.0
requerido	a 0.625 0.0
arenoso	a 1.597 4.528
diversificado	a 1.25 0.0
opcional	a 0.0 0.5
pagano	a 0.0 2.5
problematico	a 0.75 4.25
saliente	a 1.625 4.875
decasilabo	a 0.25 0.25
oral	a 0.5 1.375
sagaz	a 16.0 4.125
superno	a 0.5 0.0
indomable	a 0.75 3.0
antitanque	a 0.0 0.125
automatizado	a 0.5 0.0
retirado	a 1.5 1.75
licencioso	a 1.75 1.875
suprimible	a 0.625 0.0
adjetival	a 2.0 0.0
comprimido	a 0.125 0.625
multiling�e	a 0.0 0.125
sibaritico	a 3.125 0.0
especular	a 1.25 0.0
nono	a 0.75 0.0
residencial	a 0.125 0.0
tintado	a 0.125 1.875
imponderable	a 0.0 0.875
estirado	a 0.625 1.5
sofocado	a 0.375 1.375
regocijador	a 1.125 1.5
atrincherado	a 0.25 0.0
allegro	a 0.25 0.0
muchachil	a 0.375 0.0
innato	a 0.75 1.75
rayado	a 1.75 0.5
monoteista	a 0.375 0.0
marrano	a 0.0 0.625
traumatico	a 0.0 2.875
comatoso	a 0.0 0.375
vibrante	a 0.375 0.0
mortinato	a 0.25 0.5
demasiado	a 0.0 0.5
polaco	a 1.0 0.0
pacifico	a 1.5 0.25
siniestro	a 0.916 9.084
separado	a 2.0 4.625
cabalistico	a 1.25 0.25
lubrico	a 1.25 2.0
diecinueve	a 0.375 0.25
chovinista	a 1.875 0.0
15	a 0.0 0.375
renegado	a 0.5 0.625
binocular	a 0.125 0.0
confederado	a 0.75 0.5
astado	a 0.25 0.0
cascarrabias	a 0.25 4.125
provisional	a 0.125 2.5
drastico	a 0.375 1.375
reposado	a 0.0 0.625
profano	a 1.0 2.75
sudeste	a 0.25 2.0
ochenta	a 0.0 0.5
innocuo	a 1.25 0.75
inflacionista	a 0.125 1.25
finisimo	a 1.556 0.444
trasero	a 0.5 0.875
caritativo	a 1.5 0.125
fluvial	a 0.375 0.0
democratico	a 0.125 0.0
equilatero	a 0.5 0.0
reconciliado	a 0.375 0.0
grandilocuente	a 3.625 6.0
inarticulado	a 0.0 2.25
ritmico	a 0.0 1.0
aplacentario	a 0.375 0.0
staccato	a 0.25 0.25
inoxidable	a 0.0 0.375
elocuente	a 1.5 0.5
bronco	a 0.0 1.125
obstinado	a 1.625 8.75
milesimo	a 0.75 0.125
harto	a 0.625 0.75
ii	a 0.0 0.375
inconveniente	a 0.625 5.125
espastico	a 0.0 2.625
abstractivo	a 0.375 0.0
obsoleto	a 0.0 1.75
duplicado	a 0.75 0.875
conectado	a 0.25 1.0
migratorio	a 0.0 2.0
ligero	a 14.708 4.792
hedonistico	a 1.625 0.0
tendido	a 0.0 0.375
accesorio	a 0.375 0.0
divisorio	a 0.0 0.125
musgoso	a 0.125 0.75
etiquetado	a 0.75 0.375
antidromico	a 0.0 0.75
artesanal	a 0.0 0.25
inaplazable	a 1.5 2.125
tendencioso	a 2.375 2.5
contratenor	a 0.25 0.125
empinado	a 0.375 1.0
intangible	a 0.625 1.0
disociable	a 1.5 0.0
pluriling�e	a 0.0 0.125
abarrotado	a 0.375 1.5
romance	a 0.0 0.375
tardio	a 0.375 0.5
inexportable	a 0.25 0.75
marron-rojizo	a 0.5 0.0
monumental	a 2.875 0.375
recortado	a 0.625 0.5
insufrible	a 0.875 4.375
pelado	a 0.375 6.0
espatulado	a 0.375 0.0
centripeto	a 0.0 0.125
disimulado	a 0.125 0.625
incurable	a 0.25 0.5
consonante	a 2.5 2.625
resistible	a 0.5 0.0
soluble	a 0.25 0.0
antidemocratico	a 0.0 0.625
quieto	a 3.375 3.25
vital	a 4.875 0.75
dirigente	a 0.625 0.0
salobre	a 0.0 0.25
alcalotico	a 0.25 0.125
unilateral	a 0.125 0.0
anapestico	a 0.0 0.75
xv	a 0.0 0.375
retractil	a 0.5 0.0
cabezudo	a 0.25 1.25
impremeditado	a 0.0 0.5
mero	a 0.25 0.5
nominal	a 0.0 0.375
larvario	a 0.0 0.125
remilgado	a 4.25 2.0
pegajoso	a 1.125 4.625
anestesico	a 0.25 1.5
bienintencionado	a 0.0 0.875
membretado	a 0.0 0.125
amiloideo	a 1.25 0.625
gnostico	a 0.0 0.25
zafio	a 2.0 5.625
renovado	a 1.5 0.0
antideportivo	a 1.125 3.75
incapacitador	a 0.0 1.5
intratable	a 0.125 3.0
chico	a 0.75 8.5
atribuible	a 0.625 0.0
animista	a 0.0 2.0
estandar	a 0.75 0.125
desabrigado	a 0.25 1.0
abrumado	a 0.75 0.125
declarable	a 1.375 0.0
unido	a 5.25 2.625
vivificante	a 0.25 0.0
fiducial	a 0.375 0.25
acelerado	a 0.25 0.0
habil	a 7.625 0.75
histerico	a 0.5 2.0
deshabitado	a 0.0 2.0
inintencionado	a 0.0 0.25
amable	a 10.625 0.0
apetitivo	a 0.0 0.125
combativo	a 1.875 1.5
gaseoso	a 1.5 1.375
carismatico	a 1.0 0.0
datable	a 0.25 0.0
insipido	a 2.125 3.25
cataleptico	a 0.0 0.375
impulsado	a 0.5 0.0
medial	a 0.5 0.375
incorporeo	a 0.0 4.0
rehusado	a 0.0 0.5
blasonado	a 0.0 0.25
variado	a 3.625 2.25
tacito	a 2.0 0.0
campestre	a 0.0 0.25
proterozoico	a 0.0 0.125
atado	a 0.75 0.875
liliputiense	a 0.5 2.625
aovado	a 0.125 0.0
sedentario	a 0.125 1.25
retroactivo	a 0.25 0.0
sensible	a 6.0 6.0
modal	a 0.375 0.75
informativo	a 0.375 0.0
once	a 1.125 0.125
rapido	a 7.0 0.625
eficiente	a 2.0 0.0
degradado	a 3.25 3.5
coloreado	a 0.125 1.0
suboceanico	a 1.0 0.0
reluciente	a 10.125 2.125
gravable	a 0.5 0.625
destructivo	a 0.0 4.0
paraboloidal	a 0.25 0.0
pujante	a 3.75 0.0
inutil	a 1.25 14.375
fluctuante	a 0.0 0.25
anfiprotico	a 1.0 0.0
diez	a 0.375 0.375
anudado	a 0.0 1.0
amotinador	a 0.0 0.5
liso	a 4.0 2.75
consolidador	a 1.0 1.375
espaciotemporal	a 2.0 0.0
iclonoclasta	a 0.25 0.125
intrascendente	a 1.375 2.375
caluroso	a 1.5 0.0
coagulado	a 2.125 1.25
ocasional	a 0.75 1.75
decolorado	a 0.25 2.625
indelimitable	a 0.5 0.75
so�ador	a 0.75 0.75
existente	a 0.375 1.125
lirada	a 0.25 0.0
pulcro	a 7.125 1.625
pedir	a 0.5 0.0
tenaz	a 4.5 5.0
delirante	a 1.5 3.0
lunatico	a 0.0 1.0
libertino	a 5.0 5.375
sesenta	a 0.0 0.5
juerguista	a 0.625 0.0
granuloso	a 1.222 5.653
cinico	a 0.125 1.875
pesimista	a 1.75 2.5
antagonico	a 1.125 4.875
inteligible	a 1.25 0.0
inyectable	a 0.5 0.0
incomprensible	a 3.125 4.0
malvado	a 2.569 6.9309998
incauto	a 0.625 3.0
adelantado	a 1.5 0.0
compacto	a 1.0 1.0
viciado	a 0.0 1.875
beneficiario	a 1.25 0.125
exaltado	a 0.75 1.5
atractivo	a 9.5 0.25
saprofitico	a 0.125 0.0
jurisdiccional	a 0.125 0.0
cosismico	a 0.0 2.0
reducido	a 0.375 4.0
aprendido	a 0.5 0.25
asaltante	a 0.5 0.0
farinoso	a 1.097 3.7779999
cinereo	a 0.25 0.375
reactivo	a 0.5 0.125
refractivo	a 0.25 0.0
imborrable	a 0.25 0.5
malefico	a 1.5 1.0
sombroso	a 0.0 1.875
bidimensional	a 0.0 0.375
irreflexivo	a 1.0 6.875
2	a 0.0 0.375
hemolitico	a 0.0 0.75
diecisieteavo	a 0.75 0.0
individualista	a 0.25 1.0
mitigado	a 0.25 0.375
adquirible	a 0.625 0.0
hechizado	a 0.25 0.0
termico	a 1.25 0.125
inaugural	a 1.375 0.125
insociable	a 0.0 0.75
deshuesado	a 0.0 1.5
laureado	a 1.375 0.375
tanico	a 0.0 0.25
revisado	a 1.125 0.0
ineficaz	a 1.0 7.0
unipolar	a 0.0 1.0
documentado	a 0.875 0.375
ameboide	a 0.0 0.25
anticolinergico	a 0.125 0.125
insospechado	a 0.125 0.75
inexperto	a 1.25 4.125
amoratado	a 0.875 1.0
moderado	a 4.375 1.125
antropoide	a 0.25 0.75
prenatal	a 0.0 0.375
reventado	a 0.625 0.25
arcano	a 0.5 1.125
anasarcoso	a 0.0 0.75
protractil	a 1.0 0.0
desastrado	a 0.375 3.0
reverente	a 2.75 0.75
conversacional	a 0.0 1.25
legal	a 3.75 0.625
secundario	a 0.5 0.5
pedregoso	a 0.0 2.5
entrecruzado	a 0.0 0.5
beneficioso	a 3.125 0.0
ilustrativo	a 0.875 0.0
presagiado	a 0.0 0.375
prehistorico	a 0.0 0.625
pico	a 0.0 0.375
accidental	a 0.75 2.375
suspendido	a 1.25 0.0
metodico	a 0.5 0.5
estricto	a 2.0 4.75
desamueblado	a 0.25 0.5
monoaural	a 0.0 0.75
evasivo	a 0.625 1.25
evidencial	a 0.75 0.0
fascinante	a 6.5 0.0
sexagesimo	a 0.75 0.0
arrojado	a 1.5 0.125
lelo	a 0.125 3.25
tiranico	a 1.875 2.625
engalanado	a 0.375 0.0
lega�oso	a 0.25 1.5
gestual	a 0.75 1.125
presumible	a 0.375 0.0
acaparador	a 0.25 0.125
contencioso	a 1.5 1.0
alterado	a 0.125 4.625
desaconsejable	a 0.25 1.375
intestado	a 0.0 0.75
gratificante	a 4.75 0.875
inhibidor	a 0.0 3.0
instantaneo	a 1.25 0.375
homogeneizado	a 0.25 0.0
condimentado	a 0.5 0.0
sedante	a 1.25 2.5
borroso	a 1.75 4.375
sexagenario	a 0.375 0.0
retornable	a 0.0 0.375
denigrante	a 0.25 2.0
arrastrado	a 0.125 1.5
fugaz	a 1.625 1.75
garrapo	a 0.25 0.5
panteista	a 1.0 0.5
sinuoso	a 0.875 2.25
esterilizado	a 0.5 0.75
horripilante	a 1.875 13.25
injustificado	a 0.375 1.875
astral	a 0.375 0.0
grandioso	a 3.75 0.5
garrulo	a 1.25 2.25
represivo	a 0.0 3.0
habitual	a 3.125 2.25
nivelado	a 0.375 0.25
esmaltado	a 0.75 0.0
tetudo	a 0.5 0.375
hipertrofiado	a 0.0 1.0
molesto	a 0.5 23.125
precolado	a 0.5 0.0
adulterado	a 0.0 0.875
imperdonable	a 0.25 1.125
escondido	a 1.625 2.25
humanista	a 1.25 0.0
ingenioso	a 7.5 0.625
parlamentario	a 0.0 0.375
efluente	a 1.625 0.375
alusivo	a 0.375 0.25
mundano	a 0.75 2.25
notable	a 3.0 0.25
arrogante	a 5.625 2.125
anacronico	a 0.0 1.875
se�orial	a 3.625 0.5
xxi	a 0.375 0.125
1	a 0.5 0.75
desperdiciado	a 0.25 0.875
sordo	a 0.75 5.375
esmerilado	a 0.25 0.0
letal	a 0.375 3.0
quemado	a 0.125 2.75
geocentrico	a 0.0 0.625
integro	a 2.625 1.5
nacarado	a 0.625 0.5
apocado	a 1.875 1.875
insomne	a 0.625 1.0
conmemorativo	a 0.125 0.375
zarrapastroso	a 0.125 1.0
iterativo	a 0.0 1.0
irreemplazable	a 0.0 1.5
respaldado	a 1.0 0.125
practico	a 2.875 0.5
millonesimo	a 0.375 0.0
astronomico	a 0.5 0.25
agradable	a 17.375 2.125
persuasible	a 0.5 1.0
explicable	a 1.875 0.0
cataclismico	a 0.0 1.5
depresivo	a 0.625 0.75
ardiente	a 8.875 5.125
depredador	a 1.875 2.625
patologico	a 0.5 2.5
filatelico	a 0.0 0.0
anacolutico	a 0.0 0.0
arquitectonico	a 0.0 0.0
apr�s-ski	a 0.0 0.0
sionista	a 0.0 0.0
somali	a 0.0 0.0
ce�ido	a 0.0 0.0
circulatorio	a 0.0 0.0
boer	a 0.0 0.0
namibiano	a 0.0 0.0
afrikaner	a 0.0 0.0
blastoferico	a 0.0 0.0
axiologico	a 0.0 0.0
semantico	a 0.0 0.0
cataclinal	a 0.0 0.0
micenico	a 0.0 0.0
tuneci	a 0.0 0.0
aclarado	a 0.0 0.0
isotopico	a 0.0 0.0
mozartiano	a 0.0 0.0
macedonico	a 0.0 0.0
admirativo	a 0.0 0.0
antibiotico	a 0.0 0.0
pluralista	a 0.0 0.0
sublitoral	a 0.0 0.0
aposiopetico	a 0.0 0.0
aluvial	a 0.0 0.0
bimolecular	a 0.0 0.0
pugilistico	a 0.0 0.0
himeneo	a 0.0 0.0
ojiazul	a 0.0 0.0
antropofago	a 0.0 0.0
lacrimatorio	a 0.0 0.0
togoles	a 0.0 0.0
anagramatico	a 0.0 0.0
sustantival	a 0.0 0.0
necrotico	a 0.0 0.0
balistico	a 0.0 0.0
fisioquimico	a 0.0 0.0
hispanohablante	a 0.0 0.0
terrateniente	a 0.0 0.0
hegeliano	a 0.0 0.0
escandinavo	a 0.0 0.0
pentatonico	a 0.0 0.0
kantiano	a 0.0 0.0
bosnio	a 0.0 0.0
tamil	a 0.0 0.0
funicular	a 0.0 0.0
rooseveltiano	a 0.0 0.0
queliceroso	a 0.0 0.0
dominical	a 0.0 0.0
cistico	a 0.0 0.0
austronesico	a 0.0 0.0
maltes	a 0.0 0.0
biotipico	a 0.0 0.0
bioquimico	a 0.0 0.0
intraoracional	a 0.0 0.0
interdepartamental	a 0.0 0.0
recocido	a 0.0 0.0
repudiado	a 0.0 0.0
litografico	a 0.0 0.0
reduccionista	a 0.0 0.0
teocratico	a 0.0 0.0
actuarial	a 0.0 0.0
angole�o	a 0.0 0.0
bautismal	a 0.0 0.0
carcinomatoso	a 0.0 0.0
monometalico	a 0.0 0.0
belga	a 0.0 0.0
bulgaro	a 0.0 0.0
checo	a 0.0 0.0
mendeliano	a 0.0 0.0
aquenial	a 0.0 0.0
ceniciento	a 0.0 0.0
ejecutivo	a 0.0 0.0
articular	a 0.0 0.0
antropocentrico	a 0.0 0.0
tectonico	a 0.0 0.0
virtuosillo	a 0.0 0.0
veterinario	a 0.0 0.0
espectroscopico	a 0.0 0.0
gladiatorio	a 0.0 0.0
microcosmico	a 0.0 0.0
pm	a 0.0 0.0
lacrimal	a 0.0 0.0
colombiano	a 0.0 0.0
caprino	a 0.0 0.0
sabatario	a 0.0 0.0
endocentrico	a 0.0 0.0
proustiano	a 0.0 0.0
astrologico	a 0.0 0.0
arbitrativo	a 0.0 0.0
arteriolar	a 0.0 0.0
promocional	a 0.0 0.0
etiopico	a 0.0 0.0
sudamericano	a 0.0 0.0
interestelar	a 0.0 0.0
algebraico	a 0.0 0.0
colombino	a 0.0 0.0
mucinoso	a 0.0 0.0
holandes	a 0.0 0.0
prerrafaelita	a 0.0 0.0
abranquifero	a 0.0 0.0
exuvial	a 0.0 0.0
hipofiseo	a 0.0 0.0
atonalistico	a 0.0 0.0
formico	a 0.0 0.0
aramaico	a 0.0 0.0
estonio	a 0.0 0.0
usurpado	a 0.0 0.0
asclepiadaceo	a 0.0 0.0
esternal	a 0.0 0.0
proletario	a 0.0 0.0
bicipital	a 0.0 0.0
terminologico	a 0.0 0.0
autopolinizado	a 0.0 0.0
cismatico	a 0.0 0.0
desyodado	a 0.0 0.0
indoario	a 0.0 0.0
deshelado	a 0.0 0.0
anticuario	a 0.0 0.0
obispal	a 0.0 0.0
socioling�istico	a 0.0 0.0
interplanetario	a 0.0 0.0
archidiaconal	a 0.0 0.0
argivo	a 0.0 0.0
denominado	a 0.0 0.0
olfativo	a 0.0 0.0
briofito	a 0.0 0.0
capitular	a 0.0 0.0
tonificante	a 0.0 0.0
bolometrico	a 0.0 0.0
ceniza	a 0.0 0.0
procesional	a 0.0 0.0
congole�o	a 0.0 0.0
calorimetrico	a 0.0 0.0
electronico	a 0.0 0.0
calcitico	a 0.0 0.0
subdividido	a 0.0 0.0
asames	a 0.0 0.0
bencilico	a 0.0 0.0
alofonico	a 0.0 0.0
bacantico	a 0.0 0.0
tiroles	a 0.0 0.0
aeronautico	a 0.0 0.0
judeocristiano	a 0.0 0.0
piagetiano	a 0.0 0.0
gastronomico	a 0.0 0.0
caduceano	a 0.0 0.0
ortodontico	a 0.0 0.0
egeo	a 0.0 0.0
patizambo	a 0.0 0.0
eritrense	a 0.0 0.0
algometrico	a 0.0 0.0
catarral	a 0.0 0.0
hispano	a 0.0 0.0
keynesiano	a 0.0 0.0
sicofarmacologico	a 0.0 0.0
saprobico	a 0.0 0.0
tuberoso	a 0.0 0.0
multado	a 0.0 0.0
operistico	a 0.0 0.0
filipino	a 0.0 0.0
indio	a 0.0 0.0
sedado	a 0.0 0.0
calceolado	a 0.0 0.0
alelomorfico	a 0.0 0.0
sociologico	a 0.0 0.0
afijal	a 0.0 0.0
bienhablado	a 0.0 0.0
homeotermo	a 0.0 0.0
transatlantico	a 0.0 0.0
pirrico	a 0.0 0.0
osmotico	a 0.0 0.0
departamental	a 0.0 0.0
anofelino	a 0.0 0.0
reprobado	a 0.0 0.0
musulman	a 0.0 0.0
batimetrico	a 0.0 0.0
topografico	a 0.0 0.0
meteoritico	a 0.0 0.0
hindustani	a 0.0 0.0
mirmecofitico	a 0.0 0.0
frecuentado	a 0.0 0.0
autoplastico	a 0.0 0.0
ontologico	a 0.0 0.0
trocaico	a 0.0 0.0
siciliano	a 0.0 0.0
espinal	a 0.0 0.0
bencenoide	a 0.0 0.0
meapilas	a 0.0 0.0
coptico	a 0.0 0.0
nidifugo	a 0.0 0.0
alcoranico	a 0.0 0.0
yambico	a 0.0 0.0
birmano	a 0.0 0.0
talado	a 0.0 0.0
brahmanico	a 0.0 0.0
malines	a 0.0 0.0
biosintetico	a 0.0 0.0
branquifero	a 0.0 0.0
barometrico	a 0.0 0.0
campilotropo	a 0.0 0.0
neurologico	a 0.0 0.0
sinclinal	a 0.0 0.0
extraling�istico	a 0.0 0.0
stravinskiano	a 0.0 0.0
acromatinico	a 0.0 0.0
eritreo	a 0.0 0.0
rumano	a 0.0 0.0
plutocratico	a 0.0 0.0
termionico	a 0.0 0.0
coral	a 0.0 0.0
descentrado	a 0.0 0.0
autoproclamado	a 0.0 0.0
javanes	a 0.0 0.0
san	a 0.0 0.0
marinense	a 0.0 0.0
integral	a 0.0 0.0
intracutaneo	a 0.0 0.0
biografico	a 0.0 0.0
anadromo	a 0.0 0.0
albanes	a 0.0 0.0
fulgurante	a 0.0 0.0
anisogamico	a 0.0 0.0
ciclopeo	a 0.0 0.0
centrosomico	a 0.0 0.0
intracelular	a 0.0 0.0
hematologico	a 0.0 0.0
paquistani	a 0.0 0.0
nazi	a 0.0 0.0
biogenetico	a 0.0 0.0
doctrinal	a 0.0 0.0
servomecanico	a 0.0 0.0
levantino	a 0.0 0.0
papilar	a 0.0 0.0
audiolingual	a 0.0 0.0
separador	a 0.0 0.0
substantival	a 0.0 0.0
extragrande	a 0.0 0.0
perla	a 0.0 0.0
alopecico	a 0.0 0.0
termostatico	a 0.0 0.0
premarital	a 0.0 0.0
pedagogico	a 0.0 0.0
libio	a 0.0 0.0
corticohipotalamico	a 0.0 0.0
plisado	a 0.0 0.0
macrobiotico	a 0.0 0.0
ambulacral	a 0.0 0.0
folicular	a 0.0 0.0
entomofilo	a 0.0 0.0
tanzano	a 0.0 0.0
censorino	a 0.0 0.0
rabelaisiano	a 0.0 0.0
permeado	a 0.0 0.0
anaforico	a 0.0 0.0
vaginal	a 0.0 0.0
cardiaco	a 0.0 0.0
macedonio	a 0.0 0.0
uruguayo	a 0.0 0.0
clasicista	a 0.0 0.0
eskinneriano	a 0.0 0.0
litomantico	a 0.0 0.0
asfaltico	a 0.0 0.0
chino	a 0.0 0.0
post-meridiam	a 0.0 0.0
fenotipico	a 0.0 0.0
abiogenetico	a 0.0 0.0
adjudicativo	a 0.0 0.0
zimbabwense	a 0.0 0.0
epifitico	a 0.0 0.0
autodisciplinado	a 0.0 0.0
cometario	a 0.0 0.0
idigno	a 0.0 0.0
contextual	a 0.0 0.0
albuminurico	a 0.0 0.0
bogartiano	a 0.0 0.0
alopatrico	a 0.0 0.0
apicultural	a 0.0 0.0
palingenetico	a 0.0 0.0
intramuscular	a 0.0 0.0
judaico	a 0.0 0.0
virico	a 0.0 0.0
capruno	a 0.0 0.0
europeo	a 0.0 0.0
zoroastrico	a 0.0 0.0
apu�alado	a 0.0 0.0
chile�o	a 0.0 0.0
clausal	a 0.0 0.0
gandhiano	a 0.0 0.0
tactico	a 0.0 0.0
estearico	a 0.0 0.0
epicarpial	a 0.0 0.0
actinico	a 0.0 0.0
croata	a 0.0 0.0
alquimico	a 0.0 0.0
gregoriano	a 0.0 0.0
craneal	a 0.0 0.0
bentonico	a 0.0 0.0
resinado	a 0.0 0.0
acrogenico	a 0.0 0.0
cecal	a 0.0 0.0
color	a 0.0 0.0
avellana	a 0.0 0.0
artrosporico	a 0.0 0.0
precolombino	a 0.0 0.0
bicapsular	a 0.0 0.0
cerebrospinal	a 0.0 0.0
infinitivo	a 0.0 0.0
rascado	a 0.0 0.0
euterio	a 0.0 0.0
fregado	a 0.0 0.0
luterano	a 0.0 0.0
chancroso	a 0.0 0.0
evolucionario	a 0.0 0.0
geriatrico	a 0.0 0.0
homeopatico	a 0.0 0.0
anhidro	a 0.0 0.0
galo	a 0.0 0.0
checoslovaco	a 0.0 0.0
horticola	a 0.0 0.0
cataplastico	a 0.0 0.0
congoles	a 0.0 0.0
destituido	a 0.0 0.0
glotal	a 0.0 0.0
psiquiatrico	a 0.0 0.0
conmemorado	a 0.0 0.0
accipitrino	a 0.0 0.0
cartografico	a 0.0 0.0
bolchevique	a 0.0 0.0
ceciliano	a 0.0 0.0
runico	a 0.0 0.0
renano	a 0.0 0.0
aerologico	a 0.0 0.0
competidor	a 0.0 0.0
antig�e�o	a 0.0 0.0
amamantado	a 0.0 0.0
urdu	a 0.0 0.0
keniano	a 0.0 0.0
catalogado	a 0.0 0.0
patronimico	a 0.0 0.0
calistenico	a 0.0 0.0
braco	a 0.0 0.0
leguminosa	a 0.0 0.0
gabones	a 0.0 0.0
criminologico	a 0.0 0.0
heuristico	a 0.0 0.0
polvo	a 0.0 0.0
gratia	a 0.0 0.0
elisabetiano	a 0.0 0.0
gallinaceo	a 0.0 0.0
sectorial	a 0.0 0.0
deconstruccionista	a 0.0 0.0
campanular	a 0.0 0.0
expiratorio	a 0.0 0.0
tuerto	a 0.0 0.0
altitudinal	a 0.0 0.0
juliano	a 0.0 0.0
hacendado	a 0.0 0.0
blastodermico	a 0.0 0.0
chato	a 0.0 0.0
mozambique�o	a 0.0 0.0
coreano	a 0.0 0.0
organizativo	a 0.0 0.0
lacustre	a 0.0 0.0
mitraico	a 0.0 0.0
romani	a 0.0 0.0
apofiseo	a 0.0 0.0
ornitologico	a 0.0 0.0
espermatico	a 0.0 0.0
hungaro	a 0.0 0.0
mormon	a 0.0 0.0
acetilico	a 0.0 0.0
visitante	a 0.0 0.0
diadico	a 0.0 0.0
ohmico	a 0.0 0.0
tirado	a 0.0 0.0
linfatico	a 0.0 0.0
adenoideo	a 0.0 0.0
jacobino	a 0.0 0.0
neurofisiologico	a 0.0 0.0
marxista-leninista	a 0.0 0.0
patristico	a 0.0 0.0
agencial	a 0.0 0.0
biosistematico	a 0.0 0.0
catodico	a 0.0 0.0
broncoscopico	a 0.0 0.0
maxilofacial	a 0.0 0.0
japones	a 0.0 0.0
enterico	a 0.0 0.0
erasmiano	a 0.0 0.0
magiar	a 0.0 0.0
dostoyevskiano	a 0.0 0.0
postguerra	a 0.0 0.0
lactico	a 0.0 0.0
dioico	a 0.0 0.0
preposicional	a 0.0 0.0
kuwaiti	a 0.0 0.0
batial	a 0.0 0.0
metacentrico	a 0.0 0.0
postnupcial	a 0.0 0.0
culinario	a 0.0 0.0
latvio	a 0.0 0.0
anglohablante	a 0.0 0.0
atiborrado	a 0.0 0.0
singales	a 0.0 0.0
autocomplaciente	a 0.0 0.0
menstrual	a 0.0 0.0
hipotermico	a 0.0 0.0
frances	a 0.0 0.0
faringeo	a 0.0 0.0
intraling�istico	a 0.0 0.0
biotico	a 0.0 0.0
crinoide	a 0.0 0.0
carunculado	a 0.0 0.0
farfulla	a 0.0 0.0
reversionario	a 0.0 0.0
bismarckiano	a 0.0 0.0
vaciado	a 0.0 0.0
luxemburgues	a 0.0 0.0
teosofico	a 0.0 0.0
zambo	a 0.0 0.0
sintactico	a 0.0 0.0
dermatologico	a 0.0 0.0
peritoneal	a 0.0 0.0
arbitral	a 0.0 0.0
bibliolatra	a 0.0 0.0
californiano	a 0.0 0.0
cubano	a 0.0 0.0
bromico	a 0.0 0.0
bioclimatico	a 0.0 0.0
riemanniano	a 0.0 0.0
cancroideo	a 0.0 0.0
esloveno	a 0.0 0.0
mauritano	a 0.0 0.0
maquiavelico	a 0.0 0.0
psicoanalitico	a 0.0 0.0
liberiano	a 0.0 0.0
boliviano	a 0.0 0.0
bigamo	a 0.0 0.0
mitral	a 0.0 0.0
convicto	a 0.0 0.0
malayo-polinesio	a 0.0 0.0
intestinal	a 0.0 0.0
dermico	a 0.0 0.0
metropolitano	a 0.0 0.0
metodologico	a 0.0 0.0
aeromedico	a 0.0 0.0
archipielagico	a 0.0 0.0
galico	a 0.0 0.0
gonadal	a 0.0 0.0
acetonico	a 0.0 0.0
intercostal	a 0.0 0.0
gaelico	a 0.0 0.0
convexoconcavo	a 0.0 0.0
sudoroso	a 0.0 0.0
senatorial	a 0.0 0.0
catabatico	a 0.0 0.0
campesino	a 0.0 0.0
palmipedo	a 0.0 0.0
semiotico	a 0.0 0.0
egipcio	a 0.0 0.0
tarsiano	a 0.0 0.0
congregacional	a 0.0 0.0
fortificante	a 0.0 0.0
confucianista	a 0.0 0.0
hiperemico	a 0.0 0.0
liturgico	a 0.0 0.0
exhalado	a 0.0 0.0
corintio	a 0.0 0.0
estomacal	a 0.0 0.0
estatal	a 0.0 0.0
per	a 0.0 0.0
capita	a 0.0 0.0
aire-tierra	a 0.0 0.0
extrapolado	a 0.0 0.0
lumbar	a 0.0 0.0
adrenal	a 0.0 0.0
adenocarcinomatoso	a 0.0 0.0
lp	a 0.0 0.0
psicofarmacologico	a 0.0 0.0
neocortical	a 0.0 0.0
beocio	a 0.0 0.0
fulgido	a 0.0 0.0
hurtado	a 0.0 0.0
litofitico	a 0.0 0.0
conspirativo	a 0.0 0.0
falto	a 0.0 0.0
coloidal	a 0.0 0.0
bacteremico	a 0.0 0.0
intradermico	a 0.0 0.0
neodarwiniano	a 0.0 0.0
quelonio	a 0.0 0.0
apotecial	a 0.0 0.0
libanes	a 0.0 0.0
alistado	a 0.0 0.0
euroasiatico	a 0.0 0.0
manchuriano	a 0.0 0.0
angiospermoso	a 0.0 0.0
autacoidal	a 0.0 0.0
producido	a 0.0 0.0
lamarckiano	a 0.0 0.0
uvular	a 0.0 0.0
zarista	a 0.0 0.0
reactivador	a 0.0 0.0
rastafari	a 0.0 0.0
monogino	a 0.0 0.0
apogamico	a 0.0 0.0
oligarquico	a 0.0 0.0
sigmoideo	a 0.0 0.0
vascular	a 0.0 0.0
pelvico	a 0.0 0.0
gastrico	a 0.0 0.0
suizo	a 0.0 0.0
yemeni	a 0.0 0.0
egiptano	a 0.0 0.0
